label,checkpoint,layer,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,0,1,3,1.0,2.102822642447284,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 53, 0, 0, 2523, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,1,2,2,1.9998981288305415,2.0,6,0.5050465838509317,6,0.5,-0.9999999999999999,6,7,2.394888401031494,1.597058892250061,5.019216060638428,12.051764488220215,"[0, 0, 0, 0, 0, 0, 1301, 1275]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 1301, 1275]","[None, None, None, None, None, None, 2.394888401031494, 1.597058892250061]","[None, None, None, None, None, None, 5.019216060638428, 12.051764488220215]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,2,2,2,1.3643642686450508,2.0,5,0.906444099378882,5,0.5,0.9999999999999999,6,5,1.663900375366211,2.034689426422119,1.3319501876831055,9.239829063415527,"[0, 0, 0, 0, 0, 2335, 241, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2335, 241, 0]","[None, None, None, None, None, 2.034689426422119, 1.663900375366211, None]","[None, None, None, None, None, 9.239829063415527, 1.3319501876831055, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,3,3,4,2.0766430016445208,2.850717152462582,2,0.6211180124223602,2,0.5,-0.8326962119034277,1,3,2.38211989402771,0.05892856791615486,3.724839448928833,13.214285850524902,"[0, 934, 1600, 42, 0, 0, 0, 0]","[0, 1857, 2576, 106, 613, 0, 0, 0]","[0, 934, 1600, 42, 0, 0, 0, 0]","[None, 2.38211989402771, 1.8278906345367432, 0.05892856791615486, None, None, None, None]","[None, 3.724839448928833, 11.163749694824219, 13.214285850524902, None, None, None, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,4,2,4,1.2540382488399104,3.017881321316392,2,0.9402173913043478,2,0.47923136645962733,1.0,7,2,0.9912337064743042,2.064141035079956,1.3896104097366333,8.952105522155762,"[0, 0, 2422, 0, 0, 0, 0, 154]","[0, 0, 2469, 0, 0, 253, 1891, 539]","[0, 0, 2422, 0, 0, 0, 0, 154]","[None, None, 2.064141035079956, None, None, None, None, 0.9912337064743042]","[None, None, 8.952105522155762, None, None, None, None, 1.3896104097366333]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,5,3,4,2.7023181848325657,3.7990271745857136,1,0.5446428571428571,1,0.35384316770186336,-0.3774991854935572,1,3,2.790680408477783,1.4770336151123047,6.9444050788879395,12.420757293701172,"[0, 1403, 0, 713, 0, 0, 460, 0]","[0, 1823, 799, 1538, 0, 0, 992, 0]","[0, 1403, 0, 713, 0, 0, 460, 0]","[None, 2.790680408477783, None, 1.4770336151123047, None, None, 0.399021714925766, None]","[None, 6.9444050788879395, None, 12.420757293701172, None, None, 7.167391300201416, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,6,2,4,1.9676421194404488,2.0869564625964654,7,0.5900621118012422,4,0.5,1.0000000000000002,4,7,0.9518229961395264,2.7282073497772217,6.6789774894714355,9.765131950378418,"[0, 0, 0, 0, 1056, 0, 0, 1520]","[0, 0, 0, 0, 2576, 41, 1, 2534]","[0, 0, 0, 0, 1056, 0, 0, 1520]","[None, None, None, None, 0.9518229961395264, None, None, 2.7282073497772217]","[None, None, None, None, 6.6789774894714355, None, None, 9.765131950378418]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,7,4,4,2.109116462081277,3.4606496732511083,5,0.5034937888198758,6,0.3858695652173913,-0.362832935459029,5,3,2.9966654777526855,2.0625,8.27756404876709,16.0,"[0, 0, 19, 6, 0, 1297, 1254, 0]","[0, 0, 301, 1269, 0, 1594, 1988, 0]","[0, 0, 19, 6, 0, 1297, 1254, 0]","[None, None, 0.056578945368528366, 2.0625, None, 2.9966654777526855, 0.9983054399490356, None]","[None, None, 14.947368621826172, 16.0, None, 8.27756404876709, 8.596490859985352, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,8,3,3,1.880887027679191,2.421166289376196,2,0.7410714285714286,2,0.47690217391304346,-0.17701524306198482,3,5,0.5,0.512260377407074,1.0,9.324280738830566,"[0, 0, 1909, 41, 0, 626, 0, 0]","[0, 0, 2457, 324, 0, 2371, 0, 0]","[0, 0, 1909, 41, 0, 626, 0, 0]","[None, None, 2.520075798034668, 0.5, None, 0.512260377407074, None, None]","[None, None, 8.390780448913574, 1.0, None, 9.324280738830566, None, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,9,4,4,2.5832470647563257,3.0044706548444466,5,0.5543478260869565,6,0.44235248447204967,-0.18183216881693812,2,6,1.019859790802002,0.9382029175758362,1.677570104598999,10.833517074584961,"[0, 27, 214, 0, 0, 1428, 907, 0]","[0, 409, 322, 0, 0, 2142, 2279, 0]","[0, 27, 214, 0, 0, 1428, 907, 0]","[None, 0.10740741342306137, 1.019859790802002, None, None, 2.8570728302001953, 0.9382029175758362, None]","[None, 4.777777671813965, 1.677570104598999, None, None, 8.110644340515137, 10.833517074584961, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,10,2,2,1.4553648146589246,2.0,7,0.8757763975155279,6,0.5,1.0,6,7,0.23937499523162842,2.2497339248657227,8.125,8.553191184997559,"[0, 0, 0, 0, 0, 0, 320, 2256]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 320, 2256]","[None, None, None, None, None, None, 0.23937499523162842, 2.2497339248657227]","[None, None, None, None, None, None, 8.125, 8.553191184997559]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,11,2,4,1.6658821984354646,2.2212398804853564,1,0.7927018633540373,3,0.5,-1.0000000000000002,3,1,2.4955525398254395,1.8704088926315308,2.4775280952453613,10.074926376342773,"[0, 2042, 0, 534, 0, 0, 0, 0]","[96, 2457, 0, 2576, 0, 0, 23, 0]","[0, 2042, 0, 534, 0, 0, 0, 0]","[None, 1.8704088926315308, None, 2.4955525398254395, None, None, None, None]","[None, 10.074926376342773, None, 2.4775280952453613, None, None, None, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,12,3,3,1.5926714549868057,2.500106485217435,5,0.8559782608695652,6,0.4784549689440994,-0.5924172287967286,6,4,0.18833334743976593,0.3463189899921417,3.3333332538604736,11.368098258972168,"[0, 0, 0, 0, 326, 2205, 45, 0]","[0, 0, 0, 0, 414, 2273, 2465, 0]","[0, 0, 0, 0, 326, 2205, 45, 0]","[None, None, None, None, 0.3463189899921417, 2.2814626693725586, 0.18833334743976593, None]","[None, None, None, None, 11.368098258972168, 8.181406021118164, 3.3333332538604736, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,13,3,3,2.660512226516142,2.709092343789361,2,0.5687111801242236,2,0.5,-0.5473668643845909,5,2,3.1290743350982666,2.048037528991699,4.577531814575195,10.098976135253906,"[0, 0, 1465, 0, 479, 632, 0, 0]","[0, 0, 2576, 0, 761, 1815, 0, 0]","[0, 0, 1465, 0, 479, 632, 0, 0]","[None, None, 2.048037528991699, None, 0.3633611798286438, 3.1290743350982666, None, None]","[None, None, 10.098976135253906, None, 8.784968376159668, 4.577531814575195, None, None]"
phaseA_3k_0000003000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseA_3k/checkpoints/0000003000,14,2,3,1.6053505904558032,2.779001998095027,2,0.8187111801242236,2,0.5,-1.0000000000000002,3,2,3.366541862487793,1.697403907775879,4.62312650680542,9.358463287353516,"[0, 0, 2109, 467, 0, 0, 0, 0]","[0, 0, 2576, 1628, 948, 0, 0, 0]","[0, 0, 2109, 467, 0, 0, 0, 0]","[None, None, 1.697403907775879, 3.366541862487793, None, None, None, None]","[None, None, 9.358463287353516, 4.62312650680542, None, None, None, None]"
