tag,layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.0,0,0,6,0,"[-0.0009274922776967287, -0.07861798256635666, -0.04329690337181091, -0.0421023853123188, -0.07173879444599152, -0.03954697400331497, -0.016030127182602882, -0.07057969272136688]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.05000000074505806,0,0,6,0,"[-0.0010755553375929594, -0.08454649895429611, -0.045267827808856964, -0.043144792318344116, -0.07696564495563507, -0.040619879961013794, -0.016545498743653297, -0.07523354887962341]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.10000000149011612,0,0,6,0,"[-0.0012236179318279028, -0.09047501534223557, -0.04723874852061272, -0.04418720304965973, -0.08219248056411743, -0.04169278219342232, -0.017060868442058563, -0.07988740503787994]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.15000000596046448,0,0,6,0,"[-0.0013716809917241335, -0.09640353173017502, -0.04920966923236847, -0.04522961378097534, -0.08741933107376099, -0.04276568442583084, -0.01757624000310898, -0.08454126119613647]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.20000000298023224,0,0,6,0,"[-0.0015197435859590769, -0.10233204811811447, -0.05118059366941452, -0.046272024512290955, -0.09264617413282394, -0.043838586658239365, -0.018091611564159393, -0.089195117354393]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.25,0,0,6,0,"[-0.0016678066458553076, -0.10826055705547333, -0.05315151438117027, -0.04731443524360657, -0.0978730171918869, -0.04491148889064789, -0.01860698312520981, -0.09384897351264954]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.30000001192092896,0,0,6,0,"[-0.001815869240090251, -0.11418908089399338, -0.055122435092926025, -0.04835684597492218, -0.10309986025094986, -0.04598439484834671, -0.019122352823615074, -0.09850283712148666]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.3499999940395355,0,0,6,0,"[-0.0019639322999864817, -0.12011758983135223, -0.057093359529972076, -0.049399252980947495, -0.10832670331001282, -0.047057293355464935, -0.01963772438466549, -0.1031566858291626]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.4000000059604645,0,0,6,0,"[-0.002111994894221425, -0.1260461062192917, -0.05906428024172783, -0.05044166371226311, -0.11355354636907578, -0.04813019931316376, -0.020153095945715904, -0.10781054943799973]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.45000001788139343,0,0,6,0,"[-0.0022600579541176558, -0.13197462260723114, -0.06103520095348358, -0.05148407071828842, -0.11878039687871933, -0.04920309782028198, -0.02066846750676632, -0.11246440559625626]"
