layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,1.0,0.6931471824645996,0.0,0,0,6,0,"[0.0010381839238107204, -0.09454692155122757, -0.07793904840946198, -0.029156673699617386, -0.09054887294769287, -0.02616247907280922, -0.012734940275549889, -0.09240953624248505]"
0,1.0,0.6931471824645996,0.05000000074505806,0,0,6,0,"[0.0009236070327460766, -0.1014719158411026, -0.0809420645236969, -0.029825275763869286, -0.09676234424114227, -0.026880428194999695, -0.013192934915423393, -0.09792497754096985]"
0,1.0,0.6931471824645996,0.10000000149011612,0,0,6,0,"[0.0008090301416814327, -0.10839690268039703, -0.08394507318735123, -0.030493877828121185, -0.10297580808401108, -0.02759837545454502, -0.013650929555296898, -0.10344041883945465]"
0,1.0,0.6931471824645996,0.15000000596046448,0,0,6,0,"[0.0006944530177861452, -0.11532188951969147, -0.08694808185100555, -0.031162481755018234, -0.10918927192687988, -0.028316324576735497, -0.014108924195170403, -0.10895586013793945]"
0,1.0,0.6931471824645996,0.20000000298023224,0,0,6,0,"[0.0005798761267215014, -0.1222468838095665, -0.08995109051465988, -0.03183108568191528, -0.11540274322032928, -0.029034271836280823, -0.014566916972398758, -0.11447130143642426]"
0,1.0,0.6931471824645996,0.25,0,0,6,0,"[0.0004652992356568575, -0.12917187809944153, -0.09295409917831421, -0.032499685883522034, -0.12161620706319809, -0.029752220958471298, -0.015024911612272263, -0.11998674273490906]"
0,1.0,0.6931471824645996,0.30000001192092896,0,0,6,0,"[0.00035072234459221363, -0.13609686493873596, -0.09595711529254913, -0.033168286085128784, -0.1278296709060669, -0.030470170080661774, -0.015482906252145767, -0.12550218403339386]"
0,1.0,0.6931471824645996,0.3499999940395355,0,0,6,0,"[0.00023614545352756977, -0.1430218517780304, -0.09896011650562286, -0.03383689001202583, -0.1340431421995163, -0.0311881173402071, -0.015940900892019272, -0.13101762533187866]"
0,1.0,0.6931471824645996,0.4000000059604645,0,0,6,0,"[0.00012156832963228226, -0.14994683861732483, -0.10196313261985779, -0.03450549393892288, -0.1402566134929657, -0.031906068325042725, -0.016398895531892776, -0.13653305172920227]"
0,1.0,0.6931471824645996,0.45000001788139343,0,0,6,0,"[6.991438567638397e-06, -0.15687182545661926, -0.10496614128351212, -0.03517409414052963, -0.1464700847864151, -0.0326240137219429, -0.01685689017176628, -0.14204850792884827]"
0,1.0,0.6931471824645996,0.5,0,0,6,0,"[-0.00010758545249700546, -0.1637968122959137, -0.10796914994716644, -0.03584269806742668, -0.1526835411787033, -0.03334196284413338, -0.017314884811639786, -0.14756393432617188]"
0,1.0,0.6931471824645996,0.550000011920929,0,0,6,0,"[-0.00022216234356164932, -0.17072181403636932, -0.11097216606140137, -0.03651130199432373, -0.1588970124721527, -0.03405991196632385, -0.01777287945151329, -0.15307937562465668]"
0,1.0,0.6931471824645996,0.6000000238418579,0,0,6,0,"[-0.0003367392346262932, -0.17764680087566376, -0.1139751747250557, -0.03717990219593048, -0.1651104837656021, -0.03477785736322403, -0.018230872228741646, -0.15859481692314148]"
0,1.0,0.6931471824645996,0.6500000357627869,0,0,6,0,"[-0.00045131659135222435, -0.18457180261611938, -0.11697818338871002, -0.03784850612282753, -0.1713239550590515, -0.0354958102107048, -0.01868886686861515, -0.16411025822162628]"
0,1.0,0.6931471824645996,0.699999988079071,0,0,6,0,"[-0.0005658930167555809, -0.19149677455425262, -0.11998119205236435, -0.03851710632443428, -0.17753741145133972, -0.03621375560760498, -0.019146861508488655, -0.16962569952011108]"
0,1.0,0.6931471824645996,0.75,0,0,6,0,"[-0.0006804703734815121, -0.19842177629470825, -0.12298420071601868, -0.03918571025133133, -0.18375088274478912, -0.036931704729795456, -0.01960485614836216, -0.1751411408185959]"
0,1.0,0.6931471824645996,0.800000011920929,0,0,6,0,"[-0.0007950472645461559, -0.20534676313400269, -0.1259872168302536, -0.03985431045293808, -0.18996435403823853, -0.03764965385198593, -0.020062850788235664, -0.1806565821170807]"
0,1.0,0.6931471824645996,0.8500000238418579,0,0,6,0,"[-0.0009096241556107998, -0.21227174997329712, -0.12899021804332733, -0.04052291810512543, -0.19617781043052673, -0.03836759924888611, -0.02052084356546402, -0.1861720234155655]"
0,1.0,0.6931471824645996,0.9000000357627869,0,0,6,0,"[-0.0010242010466754436, -0.21919673681259155, -0.13199323415756226, -0.04119151830673218, -0.20239129662513733, -0.03908555209636688, -0.020978838205337524, -0.1916874647140503]"
0,1.0,0.6931471824645996,0.949999988079071,0,0,6,0,"[-0.0011387779377400875, -0.226121723651886, -0.134996235370636, -0.04186011850833893, -0.20860475301742554, -0.03980349749326706, -0.02143683284521103, -0.1972028911113739]"
0,1.0,0.6931471824645996,1.0,0,0,6,0,"[-0.0012533548288047314, -0.23304671049118042, -0.1379992514848709, -0.04252872243523598, -0.21481820940971375, -0.040521446615457535, -0.021894827485084534, -0.2027183324098587]"
0,1.0,0.6931471824645996,1.0500000715255737,0,0,6,0,"[-0.0013679317198693752, -0.23997172713279724, -0.14100226759910583, -0.043197326362133026, -0.22103169560432434, -0.04123939573764801, -0.02235282212495804, -0.2082337886095047]"
0,1.0,0.6931471824645996,1.100000023841858,0,0,6,0,"[-0.001482508610934019, -0.24689671397209167, -0.14400526881217957, -0.04386592656373978, -0.22724515199661255, -0.04195734113454819, -0.022810816764831543, -0.2137492150068283]"
0,1.0,0.6931471824645996,1.149999976158142,0,0,6,0,"[-0.001597085501998663, -0.2538216710090637, -0.1470082700252533, -0.04453452676534653, -0.23345860838890076, -0.04267529398202896, -0.023268811404705048, -0.2192646563053131]"
0,1.0,0.6931471824645996,1.2000000476837158,0,0,6,0,"[-0.0017116623930633068, -0.26074668765068054, -0.15001130104064941, -0.045203134417533875, -0.23967209458351135, -0.04339323937892914, -0.023726806044578552, -0.2247800976037979]"
0,1.0,0.6931471824645996,1.25,0,0,6,0,"[-0.0018262392841279507, -0.267671674489975, -0.15301430225372314, -0.045871734619140625, -0.24588555097579956, -0.044111188501119614, -0.024184798821806908, -0.23029552400112152]"
0,1.0,0.6931471824645996,1.3000000715255737,0,0,6,0,"[-0.0019408166408538818, -0.2745966613292694, -0.15601730346679688, -0.046540338546037674, -0.25209903717041016, -0.04482913762331009, -0.02464279532432556, -0.23581098020076752]"
0,1.0,0.6931471824645996,1.350000023841858,0,0,6,0,"[-0.0020553935319185257, -0.28152164816856384, -0.1590203195810318, -0.04720894247293472, -0.25831249356269836, -0.045547083020210266, -0.025100788101553917, -0.24132640659809113]"
0,1.0,0.6931471824645996,1.399999976158142,0,0,6,0,"[-0.0021699699573218822, -0.2884466350078583, -0.16202333569526672, -0.04787754267454147, -0.2645259499549866, -0.04626503586769104, -0.025558780878782272, -0.24684184789657593]"
0,1.0,0.6931471824645996,1.4500000476837158,0,0,6,0,"[-0.0022845473140478134, -0.2953716218471527, -0.16502633690834045, -0.048546142876148224, -0.27073943614959717, -0.04698298126459122, -0.026016777381300926, -0.2523573040962219]"
0,1.0,0.6931471824645996,1.5,0,0,6,0,"[-0.0023991242051124573, -0.30229660868644714, -0.16802933812141418, -0.04921474680304527, -0.2769528925418854, -0.04770093038678169, -0.02647477015852928, -0.25787273049354553]"
0,1.0,0.6931471824645996,1.5500000715255737,0,0,6,0,"[-0.0025137015618383884, -0.30922162532806396, -0.1710323691368103, -0.04988335072994232, -0.2831663489341736, -0.04841887950897217, -0.026932764798402786, -0.26338815689086914]"
0,1.0,0.6931471824645996,1.600000023841858,0,0,6,0,"[-0.0026282784529030323, -0.3161466121673584, -0.17403537034988403, -0.05055195093154907, -0.2893798351287842, -0.049136824905872345, -0.02739075943827629, -0.26890361309051514]"
0,1.0,0.6931471824645996,1.649999976158142,0,0,6,0,"[-0.002742854878306389, -0.32307156920433044, -0.17703837156295776, -0.05122055113315582, -0.2955932915210724, -0.04985477775335312, -0.027848754078149796, -0.27441906929016113]"
0,1.0,0.6931471824645996,1.7000000476837158,0,0,6,0,"[-0.00285743223503232, -0.32999658584594727, -0.1800413876771927, -0.05188915878534317, -0.3018067479133606, -0.050572723150253296, -0.0283067487180233, -0.27993449568748474]"
0,1.0,0.6931471824645996,1.75,0,0,6,0,"[-0.002972009126096964, -0.3369215726852417, -0.1830444037914276, -0.05255775898694992, -0.3080202341079712, -0.05129067599773407, -0.028764743357896805, -0.28544992208480835]"
0,1.0,0.6931471824645996,1.8000000715255737,0,0,6,0,"[-0.0030865860171616077, -0.34384655952453613, -0.18604740500450134, -0.05322636291384697, -0.3142337203025818, -0.05200862139463425, -0.02922273799777031, -0.29096537828445435]"
0,1.0,0.6931471824645996,1.850000023841858,0,0,6,0,"[-0.0032011629082262516, -0.35077154636383057, -0.18905042111873627, -0.05389496684074402, -0.3204471468925476, -0.052726566791534424, -0.029680732637643814, -0.29648080468177795]"
0,1.0,0.6931471824645996,1.899999976158142,0,0,6,0,"[-0.0033157397992908955, -0.357696533203125, -0.19205342233181, -0.05456356704235077, -0.3266606330871582, -0.0534445196390152, -0.03013872727751732, -0.30199623107910156]"
0,1.0,0.6931471824645996,1.9500000476837158,0,0,6,0,"[-0.0034303166903555393, -0.36462152004241943, -0.19505643844604492, -0.05523216724395752, -0.3328741192817688, -0.054162465035915375, -0.030596721917390823, -0.30751168727874756]"
0,1.0,0.6931471824645996,2.0,0,0,6,0,"[-0.003544893581420183, -0.37154650688171387, -0.19805943965911865, -0.05590076744556427, -0.3390875458717346, -0.05488041788339615, -0.031054716557264328, -0.31302714347839355]"
0,1.0,0.6931471824645996,2.049999952316284,0,0,6,0,"[-0.003659470472484827, -0.3784714937210083, -0.20106247067451477, -0.05656937509775162, -0.3453010320663452, -0.055598363280296326, -0.03151271119713783, -0.31854256987571716]"
0,1.0,0.6931471824645996,2.0999999046325684,0,0,6,0,"[-0.003774047363549471, -0.38539648056030273, -0.2040654718875885, -0.05723797529935837, -0.3515144884586334, -0.0563163086771965, -0.03197070211172104, -0.32405799627304077]"
0,1.0,0.6931471824645996,2.1499998569488525,0,0,6,0,"[-0.0038886242546141148, -0.39232146739959717, -0.20706847310066223, -0.05790657550096512, -0.35772794485092163, -0.05703426152467728, -0.03242869675159454, -0.32957345247268677]"
0,1.0,0.6931471824645996,2.200000047683716,0,0,6,0,"[-0.004003201145678759, -0.399246484041214, -0.21007150411605835, -0.058575183153152466, -0.3639414310455322, -0.057752206921577454, -0.03288669511675835, -0.33508890867233276]"
0,1.0,0.6931471824645996,2.25,0,0,6,0,"[-0.0041177780367434025, -0.40617144107818604, -0.21307450532913208, -0.059243783354759216, -0.37015488743782043, -0.05847015976905823, -0.03334468603134155, -0.340604305267334]"
0,1.0,0.6931471824645996,2.299999952316284,0,0,6,0,"[-0.004232354927808046, -0.41309642791748047, -0.2160775065422058, -0.05991238355636597, -0.37636834383010864, -0.059188105165958405, -0.03380268067121506, -0.34611976146698]"
0,1.0,0.6931471824645996,2.3499999046325684,0,0,6,0,"[-0.00434693181887269, -0.4200214147567749, -0.21908050775527954, -0.06058098375797272, -0.38258183002471924, -0.05990605056285858, -0.034260671585798264, -0.351635217666626]"
0,1.0,0.6931471824645996,2.4000000953674316,0,0,6,0,"[-0.004461508709937334, -0.4269464313983917, -0.22208353877067566, -0.061249591410160065, -0.38879531621932983, -0.060624003410339355, -0.03471866995096207, -0.357150673866272]"
0,1.0,0.6931471824645996,2.450000047683716,0,0,6,0,"[-0.004576085601001978, -0.43387141823768616, -0.2250865399837494, -0.061918191611766815, -0.39500880241394043, -0.06134194880723953, -0.03517666459083557, -0.3626660704612732]"
0,1.0,0.6931471824645996,2.5,0,0,6,0,"[-0.004690662492066622, -0.4407964050769806, -0.22808954119682312, -0.06258679181337357, -0.40122222900390625, -0.062059901654720306, -0.03563465550541878, -0.3681815266609192]"
0,1.0,0.6931471824645996,2.549999952316284,0,0,6,0,"[-0.004805239383131266, -0.447721391916275, -0.23109257221221924, -0.06325539201498032, -0.40743571519851685, -0.06277784705162048, -0.03609265014529228, -0.3736969828605652]"
0,1.0,0.6931471824645996,2.5999999046325684,0,0,6,0,"[-0.0049198162741959095, -0.45464637875556946, -0.23409557342529297, -0.06392399966716766, -0.41364914178848267, -0.06349579244852066, -0.03655064478516579, -0.3792124092578888]"
0,1.0,0.6931471824645996,2.6500000953674316,0,0,6,0,"[-0.005034394096583128, -0.4615713953971863, -0.2370986044406891, -0.06459259986877441, -0.41986268758773804, -0.06421374529600143, -0.03700864315032959, -0.3847278654575348]"
0,1.0,0.6931471824645996,2.700000047683716,0,0,6,0,"[-0.005148970987647772, -0.4684963822364807, -0.24010160565376282, -0.06526120752096176, -0.42607611417770386, -0.06493169069290161, -0.037466634064912796, -0.3902432918548584]"
0,1.0,0.6931471824645996,2.75,0,0,6,0,"[-0.005263547878712416, -0.47542136907577515, -0.24310460686683655, -0.06592980772256851, -0.43228960037231445, -0.06564964354038239, -0.0379246287047863, -0.3957587480545044]"
0,1.0,0.6931471824645996,2.799999952316284,0,0,6,0,"[-0.005378123838454485, -0.4823463261127472, -0.24610760807991028, -0.06659840792417526, -0.4385030269622803, -0.06636758893728256, -0.038382623344659805, -0.401274174451828]"
0,1.0,0.6931471824645996,2.8499999046325684,0,0,6,0,"[-0.005492700729519129, -0.4892713129520416, -0.249110609292984, -0.06726700812578201, -0.44471651315689087, -0.06708553433418274, -0.03884061798453331, -0.4067896008491516]"
0,1.0,0.6931471824645996,2.9000000953674316,0,0,6,0,"[-0.005607278551906347, -0.49619632959365845, -0.2521136403083801, -0.06793561577796936, -0.45092999935150146, -0.06780348718166351, -0.039298612624406815, -0.4123050570487976]"
0,1.0,0.6931471824645996,2.950000047683716,0,0,6,0,"[-0.005721855442970991, -0.5031213164329529, -0.25511664152145386, -0.06860421597957611, -0.45714348554611206, -0.06852143257856369, -0.03975660726428032, -0.4178205132484436]"
0,1.0,0.6931471824645996,3.0,0,0,6,0,"[-0.005836432334035635, -0.5100463032722473, -0.2581196427345276, -0.06927281618118286, -0.4633569121360779, -0.06923938542604446, -0.040214601904153824, -0.4233359396457672]"
0,1.0,0.6931471824645996,3.049999952316284,0,0,6,0,"[-0.005951009225100279, -0.5169712901115417, -0.2611226737499237, -0.06994141638278961, -0.4695703983306885, -0.06995733082294464, -0.04067259654402733, -0.4288513660430908]"
0,1.0,0.6931471824645996,3.0999999046325684,0,0,6,0,"[-0.006065586116164923, -0.5238962769508362, -0.26412567496299744, -0.07061002403497696, -0.4757838249206543, -0.07067527621984482, -0.04113059118390083, -0.4343668222427368]"
0,1.0,0.6931471824645996,3.1500000953674316,0,0,6,0,"[-0.006180163938552141, -0.5308213233947754, -0.26712867617607117, -0.07127862423658371, -0.4819973111152649, -0.07139322906732559, -0.04158858582377434, -0.4398822784423828]"
0,1.0,0.6931471824645996,3.200000047683716,0,0,6,0,"[-0.006294740829616785, -0.5377463102340698, -0.2701317071914673, -0.07194723188877106, -0.4882107973098755, -0.07211117446422577, -0.04204658046364784, -0.4453977048397064]"
0,1.0,0.6931471824645996,3.25,0,0,6,0,"[-0.006409316789358854, -0.5446712374687195, -0.273134708404541, -0.07261583209037781, -0.4944242835044861, -0.07282912731170654, -0.04250457510352135, -0.45091313123703003]"
0,1.0,0.6931471824645996,3.299999952316284,0,0,6,0,"[-0.006523893680423498, -0.5515962243080139, -0.27613770961761475, -0.07328443229198456, -0.5006377100944519, -0.07354707270860672, -0.04296256974339485, -0.456428587436676]"
0,1.0,0.6931471824645996,3.3499999046325684,0,0,6,0,"[-0.006638470571488142, -0.5585212111473083, -0.2791407108306885, -0.07395303249359131, -0.5068511962890625, -0.0742650181055069, -0.04342056065797806, -0.46194401383399963]"
0,1.0,0.6931471824645996,3.4000000953674316,0,0,6,0,"[-0.0067530483938753605, -0.5654462575912476, -0.2821437418460846, -0.07462164014577866, -0.5130646824836731, -0.07498297095298767, -0.04387855902314186, -0.46745947003364563]"
0,1.0,0.6931471824645996,3.450000047683716,0,0,6,0,"[-0.006867625284940004, -0.572371244430542, -0.2851467430591583, -0.0752902403473854, -0.5192781090736389, -0.07570091634988785, -0.044336553663015366, -0.47297489643096924]"
0,1.0,0.6931471824645996,3.5,0,0,6,0,"[-0.006982202176004648, -0.5792962312698364, -0.28814974427223206, -0.07595884054899216, -0.5254915952682495, -0.07641886919736862, -0.04479454830288887, -0.47849035263061523]"
0,1.0,0.6931471824645996,3.549999952316284,0,0,6,0,"[-0.0070967781357467175, -0.5862212181091309, -0.2911527752876282, -0.07662744075059891, -0.5317050814628601, -0.0771368145942688, -0.045252542942762375, -0.48400577902793884]"
0,1.0,0.6931471824645996,3.5999999046325684,0,0,6,0,"[-0.007211355026811361, -0.5931462049484253, -0.2941557765007019, -0.07729604840278625, -0.5379185080528259, -0.07785475999116898, -0.04571053013205528, -0.48952120542526245]"
0,1.0,0.6931471824645996,3.6500000953674316,0,0,6,0,"[-0.00732593284919858, -0.6000711917877197, -0.29715877771377563, -0.077964648604393, -0.5441319942474365, -0.07857271283864975, -0.046168532222509384, -0.49503666162490845]"
0,1.0,0.6931471824645996,3.700000047683716,0,0,6,0,"[-0.007440509740263224, -0.6069961786270142, -0.30016180872917175, -0.07863325625658035, -0.5503454804420471, -0.07929065823554993, -0.04662652686238289, -0.5005520582199097]"
0,1.0,0.6931471824645996,3.75,0,0,6,0,"[-0.0075550866313278675, -0.6139211654663086, -0.3031648099422455, -0.0793018564581871, -0.5565589070320129, -0.0800086110830307, -0.047084514051675797, -0.5060675144195557]"
0,1.0,0.6931471824645996,3.799999952316284,0,0,6,0,"[-0.007669663522392511, -0.620846152305603, -0.3061678111553192, -0.07997045665979385, -0.5627723932266235, -0.08072655647993088, -0.0475425086915493, -0.5115829706192017]"
0,1.0,0.6931471824645996,3.8499999046325684,0,0,6,0,"[-0.007784240413457155, -0.6277711391448975, -0.30917081236839294, -0.0806390568614006, -0.5689858794212341, -0.08144450187683105, -0.048000503331422806, -0.5170984268188477]"
0,1.0,0.6931471824645996,3.9000000953674316,0,0,6,0,"[-0.007898816838860512, -0.6346961259841919, -0.31217384338378906, -0.08130766451358795, -0.5751993656158447, -0.08216245472431183, -0.04845849797129631, -0.5226138830184937]"
0,1.0,0.6931471824645996,3.950000047683716,0,0,6,0,"[-0.008013393729925156, -0.6416211128234863, -0.3151768445968628, -0.0819762647151947, -0.5814127922058105, -0.082880400121212, -0.048916492611169815, -0.5281293392181396]"
0,1.0,0.6931471824645996,4.0,0,0,6,0,"[-0.0081279706209898, -0.6485460996627808, -0.3181798458099365, -0.08264486491680145, -0.5876262784004211, -0.08359835296869278, -0.04937448725104332, -0.5336447358131409]"
0,2.0,1.0986123085021973,0.0,0,0,6,0,"[-0.0006280918605625629, -0.06899069994688034, -0.08418530970811844, -0.03259848803281784, -0.06908939778804779, -0.03060990571975708, -0.022012008354067802, -0.07372751086950302]"
0,2.0,1.0986123085021973,0.05000000074505806,0,0,6,0,"[-0.0007426687516272068, -0.07591569423675537, -0.08718831837177277, -0.03326709195971489, -0.07530286908149719, -0.031327854841947556, -0.022470002993941307, -0.07924295216798782]"
0,2.0,1.0986123085021973,0.10000000149011612,0,0,6,0,"[-0.0008572456426918507, -0.0828406810760498, -0.09019133448600769, -0.03393569588661194, -0.081516332924366, -0.03204580396413803, -0.02292799763381481, -0.08475838601589203]"
0,2.0,1.0986123085021973,0.15000000596046448,0,0,6,0,"[-0.0009718225337564945, -0.08976566791534424, -0.09319433569908142, -0.03460429608821869, -0.0877297967672348, -0.032763753086328506, -0.023385992273688316, -0.09027382731437683]"
0,2.0,1.0986123085021973,0.20000000298023224,0,0,6,0,"[-0.0010863994248211384, -0.09669066220521927, -0.09619735181331635, -0.03527290001511574, -0.0939432680606842, -0.03348170220851898, -0.023843985050916672, -0.09578926861286163]"
0,2.0,1.0986123085021973,0.25,0,0,6,0,"[-0.0012009763158857822, -0.1036156490445137, -0.09920036047697067, -0.03594150021672249, -0.10015673190355301, -0.03419964760541916, -0.024301979690790176, -0.10130470991134644]"
