layer,matrix,mean_pairwise_cosine_distance,mean_within_original_pair_distance,mean_cross_pair_distance,within_minus_cross
0,w1,0.5644972111497607,0.9848217815160751,0.4944431160887082,0.4903786654273669
0,w2,0.5719571581908635,1.0000457465648651,0.5006090601285299,0.4994366864363352
0,w3,0.5734491348266602,0.9991874247789383,0.5024927531679472,0.4966946716109911
1,w1,0.5661221338169915,0.9882609248161316,0.49576566865046817,0.4924952561656634
1,w2,0.57192462682724,1.0002084970474243,0.5005439817905426,0.4996645152568817
1,w3,0.5730830324547631,0.9996761828660965,0.5019841740528742,0.4976920088132223
2,w1,0.5677292474678585,0.9918486922979355,0.4970426733295123,0.4948060189684232
2,w2,0.5717572612421853,1.000153809785843,0.5003578364849091,0.49979597330093384
2,w3,0.5724886038473674,0.9996803402900696,0.501289981106917,0.49839035918315255
3,w1,0.5687662959098816,0.9916556775569916,0.4982847323020299,0.49337094525496167
3,w2,0.5719381208930697,0.9997346103191376,0.5006387059887251,0.4990959043304125
3,w3,0.5738273646150317,0.9992038756608963,0.5029312794407209,0.4962725962201754
4,w1,0.5693885577576501,0.9930572509765625,0.4987771088878314,0.4942801420887311
4,w2,0.5721078131880079,1.0002019703388214,0.5007587869962057,0.4994431833426157
4,w3,0.5738143218415124,0.9998702555894852,0.5028049995501837,0.4970652560393015
5,w1,0.5696750751563481,0.9933256804943085,0.4990666409333547,0.4942590395609538
5,w2,0.5720786665167127,1.0001848638057709,0.500727633635203,0.49945723017056787
5,w3,0.5735929374183927,0.999626636505127,0.502587320903937,0.49703931560118997
6,w1,0.5700379524912152,0.9938969910144806,0.4993947794040044,0.4945022116104762
6,w2,0.5715006568602153,0.999168649315834,0.5002226581176122,0.4989459911982218
6,w3,0.5743832226310458,1.000899612903595,0.5032971575856209,0.4976024553179741
7,w1,0.5704584973199027,0.994138315320015,0.499845194319884,0.49429312100013095
7,w2,0.5721331281321389,1.000133901834488,0.5007996658484141,0.49933423598607385
7,w3,0.5744477616889136,1.000626802444458,0.5034179215629896,0.4972088808814684
8,w1,0.570491801415171,0.9941621720790863,0.49988007297118503,0.4942820991079013
8,w2,0.5721689930983952,1.000210016965866,0.5008288224538168,0.4993811945120493
8,w3,0.5742416828870773,1.0003180801868439,0.5032289500037829,0.497089130183061
9,w1,0.5701904360737119,0.9942020177841187,0.4995218391219775,0.49468017866214115
9,w2,0.5717552176543644,0.9996744692325592,0.500435342391332,0.4992391268412272
9,w3,0.5736754643065589,1.0000267177820206,0.5026169220606486,0.497409795721372
10,w1,0.5699708057301385,0.9936549365520477,0.49935678392648697,0.49429815262556076
10,w2,0.572224748986108,1.0004647076129913,0.5008514225482941,0.49961328506469727
10,w3,0.5738563580172402,1.000261902809143,0.5027887672185898,0.4974731355905533
11,w1,0.5695880310876029,0.9926805943250656,0.4990726038813591,0.4936079904437065
11,w2,0.5717793490205493,0.9996102005243301,0.5004742071032524,0.49913599342107773
11,w3,0.57392047558512,1.0001120865345001,0.50288854042689,0.4972235461076101
12,w1,0.5703576356172562,0.9938878566026688,0.49976926545302075,0.494118591149648
12,w2,0.5726000453744616,1.0010045170783997,0.5011993000904719,0.4998052169879278
12,w3,0.5739529217992511,1.000035434961319,0.502939169605573,0.4970962653557459
13,w1,0.5691871068307331,0.9923961609601974,0.49865226447582245,0.493743896484375
13,w2,0.5717282976422992,0.9996401071548462,0.5004096627235413,0.49923044443130493
13,w3,0.5741961002349854,1.001044899225235,0.5030546337366104,0.4979902654886246
14,w1,0.5686824172735214,0.9912735968828201,0.498250554005305,0.49302304287751514
14,w2,0.572289703147752,1.0005404949188232,0.5009145711859068,0.4996259237329165
14,w3,0.5739652769906181,1.00034299492836,0.5029023240009943,0.49744067092736566
15,w1,0.5680457587753024,0.9905319958925247,0.49763138592243195,0.4929006099700928
15,w2,0.571425125002861,0.9991165399551392,0.5001432225108147,0.4989733174443245
15,w3,0.5736057013273239,1.000046819448471,0.5025321816404661,0.497514637808005
16,w1,0.5682015738316945,0.9905137121677399,0.49781621744235355,0.4926974947253863
16,w2,0.5723241461174828,1.000601887702942,0.5009445225199064,0.4996573651830355
16,w3,0.5734602574791227,0.9994508624076843,0.5024618233243624,0.4969890390833219
17,w1,0.5680196838719505,0.990147590637207,0.49766503274440765,0.4924825578927994
17,w2,0.5721153978790555,1.0002470016479492,0.50076013058424,0.49948687106370926
17,w3,0.5736223352806908,0.9997581541538239,0.5025996988018354,0.49715845535198844
18,w1,0.5683628384556089,0.9910499304533005,0.49791498978932697,0.4931349406639735
18,w2,0.5718551235539573,0.9998709708452225,0.500519149005413,0.4993518218398094
18,w3,0.5735371559858322,0.999888151884079,0.5024786566694578,0.4974094952146212
19,w1,0.56779830796378,0.9900779575109482,0.4974183663725853,0.4926595911383629
19,w2,0.5716916365282876,0.9995893687009811,0.5003753478328387,0.4992140208681425
19,w3,0.5740083349602563,1.0007177889347076,0.5028900926311811,0.4978276963035265
20,w1,0.5692195977483477,0.9923568218946457,0.498696727057298,0.4936600948373477
20,w2,0.5717994485582624,0.9997282177209854,0.5004779870311419,0.49925023068984353
20,w3,0.5742340683937073,1.0009199976921082,0.5031197468439738,0.4978002508481344
21,w1,0.5694698116609028,0.992842361330986,0.4989077200492223,0.49393464128176373
21,w2,0.5711833792073386,0.9986582547426224,0.49993756661812466,0.4987206881244977
21,w3,0.5733446947165898,0.9994091093540192,0.5023339589436849,0.49707515041033423
22,w1,0.5696859232016972,0.9934318512678146,0.49906160185734433,0.4943702494104703
22,w2,0.5719542247908456,1.0000791549682617,0.5006000697612762,0.4994790852069855
22,w3,0.5737387495381492,1.0003286600112915,0.5026404311259588,0.4976882288853327
23,w1,0.5679304557187217,0.9907727688550949,0.49745673686265945,0.49331603199243546
23,w2,0.5713343215840203,0.9991060793399811,0.5000390286246935,0.49906705071528756
23,w3,0.5727907738515309,0.999136433005333,0.5017331639925638,0.4974032690127691
24,w1,0.5666209778615406,0.9890839010477066,0.4962104906638463,0.4928734103838603
24,w2,0.5717711533818927,1.0000662207603455,0.5003886421521505,0.49967757860819495
24,w3,0.5726110296589988,0.9995068460702896,0.5014617269237837,0.49804511914650595
