layer,entropy,length,top1,top2_a,top2_b,top2_same_pair,logits_json
0,0.3499999940395355,8.0,1,1,4,0,"[-0.026541268453001976, 0.24982428550720215, -0.26315516233444214, -0.11742518097162247, 0.18746037781238556, -0.12870779633522034, -0.1847999393939972, 0.13603746891021729]"
0,0.3499999940395355,9.0,1,1,4,0,"[-0.03065081126987934, 0.31285369396209717, -0.2785603106021881, -0.12591375410556793, 0.240385964512825, -0.1396765112876892, -0.20768000185489655, 0.18211299180984497]"
0,0.3499999940395355,10.0,1,1,4,0,"[-0.03476035222411156, 0.3758831024169922, -0.29396548867225647, -0.1344023197889328, 0.29331153631210327, -0.1506452113389969, -0.2305600792169571, 0.22818857431411743]"
0,0.3499999940395355,11.0,1,1,4,0,"[-0.03886989504098892, 0.43891245126724243, -0.30937066674232483, -0.14289087057113647, 0.3462371230125427, -0.16161391139030457, -0.25344014167785645, 0.2742640972137451]"
0,0.3499999940395355,12.0,1,1,4,0,"[-0.04297943785786629, 0.5019418597221375, -0.3247758150100708, -0.15137943625450134, 0.3991627097129822, -0.17258262634277344, -0.2763201892375946, 0.3203396201133728]"
0,0.3499999940395355,13.0,1,1,4,0,"[-0.047088976949453354, 0.5649712681770325, -0.34018099308013916, -0.1598680019378662, 0.45208829641342163, -0.1835513412952423, -0.29920026659965515, 0.36641520261764526]"
0,0.3499999940395355,14.0,1,1,4,0,"[-0.05119851976633072, 0.6280006170272827, -0.3555861711502075, -0.16835655272006989, 0.5050138235092163, -0.1945200264453888, -0.3220803439617157, 0.41249072551727295]"
0,0.3499999940395355,15.0,1,1,4,0,"[-0.055308058857917786, 0.6910300254821777, -0.3709913194179535, -0.17684511840343475, 0.5579394102096558, -0.20548874139785767, -0.34496039152145386, 0.4585663080215454]"
0,0.3499999940395355,16.0,1,1,4,0,"[-0.05941759794950485, 0.7540594339370728, -0.38639649748802185, -0.18533368408679962, 0.6108649969100952, -0.21645745635032654, -0.3678404688835144, 0.5046418309211731]"
0,0.4000000059604645,1.0,0,0,6,0,"[0.0020200442522764206, -0.1882299780845642, -0.15608924627304077, -0.05842968821525574, -0.18037237226963043, -0.05247528851032257, -0.025783464312553406, -0.18418759107589722]"
0,0.4000000059604645,2.0,0,0,6,0,"[-0.0020894971676170826, -0.12520059943199158, -0.17149440944194794, -0.06691824644804001, -0.12744680047035217, -0.06344399601221085, -0.048663534224033356, -0.13811203837394714]"
