layer,base_key,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.0,0,0,6,0,"[0.003886701073497534, -0.13823556900024414, -0.06726100295782089, -0.02327285148203373, -0.12723408639431, -0.018559550866484642, 0.0031243152916431427, -0.12434667348861694]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.009999999776482582,0,0,6,0,"[0.003845605766400695, -0.13760527968406677, -0.06741505116224289, -0.023357737809419632, -0.12670482695102692, -0.018669238314032555, 0.002895514713600278, -0.12388591468334198]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.019999999552965164,0,0,6,0,"[0.0038045102264732122, -0.1369749754667282, -0.06756910681724548, -0.023442622274160385, -0.12617558240890503, -0.018778925761580467, 0.0026667139027267694, -0.12342516332864761]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.029999999329447746,0,0,6,0,"[0.0037634149193763733, -0.13634468615055084, -0.06772315502166748, -0.023527508601546288, -0.12564632296562195, -0.01888861134648323, 0.0024379133246839046, -0.12296440452337265]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.03999999910593033,0,0,6,0,"[0.0037223193794488907, -0.13571439683437347, -0.06787721067667007, -0.02361239306628704, -0.12511706352233887, -0.018998298794031143, 0.002209112513810396, -0.12250365316867828]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.04999999701976776,0,0,6,0,"[0.0036812240723520517, -0.1350840926170349, -0.06803125888109207, -0.023697279393672943, -0.12458780407905579, -0.019107986241579056, 0.0019803119357675314, -0.12204289436340332]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.05999999865889549,0,0,6,0,"[0.003640128532424569, -0.13445380330085754, -0.06818531453609467, -0.023782165721058846, -0.1240585520863533, -0.01921767368912697, 0.0017515112413093448, -0.12158214300870895]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.07000000029802322,0,0,6,0,"[0.00359903322532773, -0.13382351398468018, -0.06833936274051666, -0.0238670501857996, -0.12352929264307022, -0.01932736113667488, 0.0015227105468511581, -0.12112138420343399]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.07999999821186066,0,0,6,0,"[0.0035579376854002476, -0.1331932246685028, -0.06849341839551926, -0.0239519365131855, -0.12300004065036774, -0.019437046721577644, 0.0012939098523929715, -0.12066063284873962]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.08999999612569809,0,0,6,0,"[0.0035168423783034086, -0.13256292045116425, -0.06864746659994125, -0.024036822840571404, -0.12247078120708466, -0.019546734169125557, 0.0010651091579347849, -0.12019987404346466]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.09999999403953552,0,0,6,0,"[0.0034757470712065697, -0.13193263113498688, -0.06880152225494385, -0.024121707305312157, -0.12194152921438217, -0.01965642161667347, 0.0008363085798919201, -0.1197391226887703]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.10999999940395355,0,0,6,0,"[0.003434651531279087, -0.1313023418188095, -0.06895557045936584, -0.02420659363269806, -0.12141226977109909, -0.019766109064221382, 0.0006075077690184116, -0.11927836388349533]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.11999999731779099,0,0,6,0,"[0.0033935559913516045, -0.13067203760147095, -0.06910962611436844, -0.024291478097438812, -0.1208830177783966, -0.019875794649124146, 0.00037870719097554684, -0.11881760507822037]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.12999999523162842,0,0,6,0,"[0.0033524606842547655, -0.13004174828529358, -0.06926367431879044, -0.024376364424824715, -0.12035375833511353, -0.019985482096672058, 0.00014990661293268204, -0.118356853723526]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.14000000059604645,0,0,6,0,"[0.0033113653771579266, -0.1294114589691162, -0.06941772997379303, -0.024461250752210617, -0.11982450634241104, -0.02009516954421997, -7.889419794082642e-05, -0.11789609491825104]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.14999999105930328,0,0,6,0,"[0.003270269837230444, -0.12878115475177765, -0.06957177817821503, -0.02454613521695137, -0.11929525434970856, -0.020204856991767883, -0.0003076947759836912, -0.11743534356355667]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.1599999964237213,0,0,6,0,"[0.003229174530133605, -0.12815086543560028, -0.06972582638263702, -0.024631021544337273, -0.11876599490642548, -0.020314544439315796, -0.0005364955868571997, -0.11697458475828171]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.17000000178813934,0,0,6,0,"[0.0031880789902061224, -0.1275205761194229, -0.06987988203763962, -0.024715906009078026, -0.1182367354631424, -0.02042423188686371, -0.0007652963977307081, -0.11651383340358734]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.17999999225139618,0,0,6,0,"[0.0031469836831092834, -0.12689027190208435, -0.07003393024206161, -0.024800792336463928, -0.11770748347043991, -0.020533917471766472, -0.000994096975773573, -0.11605307459831238]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.1899999976158142,0,0,6,0,"[0.003105888143181801, -0.12625998258590698, -0.07018798589706421, -0.02488567866384983, -0.11717822402715683, -0.020643604919314384, -0.0012228977866470814, -0.11559232324361801]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.19999998807907104,0,0,6,0,"[0.003064792836084962, -0.12562969326972961, -0.0703420341014862, -0.024970563128590584, -0.11664897203445435, -0.020753292366862297, -0.0014516981318593025, -0.11513156443834305]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.20999999344348907,0,0,6,0,"[0.003023697528988123, -0.12499939650297165, -0.0704960897564888, -0.025055449455976486, -0.11611971259117126, -0.02086297981441021, -0.001680498942732811, -0.11467081308364868]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.2199999988079071,0,0,6,0,"[0.0029826019890606403, -0.12436909973621368, -0.0706501379609108, -0.02514033392071724, -0.11559046059846878, -0.020972665399312973, -0.0019092997536063194, -0.11421005427837372]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.22999998927116394,0,0,6,0,"[0.0029415064491331577, -0.12373881042003632, -0.07080419361591339, -0.025225220248103142, -0.1150612086057663, -0.021082352846860886, -0.0021381000988185406, -0.11374929547309875]"
