layer,length_axis_std,entropy_axis_std,bias_std,length_axis_l2,entropy_axis_l2,entropy_to_length_l2_ratio,length_entropy_axis_cosine,same_pair_fraction,active_top1_count,active_top2_count,top2_effective_experts,active_top1_experts,active_top2_experts,top1_fraction_by_expert,top2_fraction_by_expert
0,0.037884484976530075,0.043417684733867645,0.050041764974594116,0.11681920289993286,0.19030015170574188,1.6290142971507233,-0.8810664415359497,0.006172839506172839,2,5,3.2229471408811445,"[0, 1]","[0, 1, 4, 6, 7]","[0.9097222089767456, 0.08873456716537476, 0.0, 0.0, 0.0007716049440205097, 0.0, 0.0, 0.0007716049440205097]","[0.4552469253540039, 0.047453705221414566, 0.0, 0.0, 0.054398149251937866, 0.0, 0.3966049253940582, 0.046296294778585434]"
1,0.04379858449101448,0.0493972972035408,0.05937133729457855,0.17115452885627747,0.22663366794586182,1.3241464859873588,-0.9494705200195312,0.16743827160493827,2,5,3.0322088134374434,"[0, 1]","[0, 1, 2, 3, 6]","[0.023148147389292717, 0.9768518805503845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.09182098507881165, 0.49189814925193787, 0.013503086753189564, 0.023148147389292717, 0.0, 0.004629629664123058, 0.3746142089366913, 0.00038580247201025486]"
2,0.040338579565286636,0.049979329109191895,0.059179261326789856,0.15959128737449646,0.2588610053062439,1.622024670424529,-0.9229134321212769,0.0,1,3,2.7228712702415456,[3],"[3, 6, 7]","[0.002314814832061529, 0.0, 0.0, 0.9961419701576233, 0.0, 0.0, 0.0, 0.0015432098880410194]","[0.006172839552164078, 0.0015432098880410194, 0.0, 0.49807098507881165, 0.0, 0.0, 0.3819444477558136, 0.11226851493120193]"
3,0.027703996747732162,0.029773054644465446,0.029628891497850418,0.07836298644542694,0.10319623351097107,1.3169002126129834,-0.7743971943855286,0.0,2,4,3.159455998597804,"[0, 6]","[0, 1, 4, 6]","[0.1489197462797165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8510802388191223, 0.0]","[0.10879629850387573, 0.07793209701776505, 0.0, 0.0, 0.3132716119289398, 0.0, 0.5, 0.0]"
4,0.03622663393616676,0.037143200635910034,0.04201225936412811,0.11342945694923401,0.14578072726726532,1.2852104840148384,-0.9392589926719666,0.25617283950617287,4,5,4.361362083094147,"[0, 2, 6, 7]","[0, 2, 4, 6, 7]","[0.1983024626970291, 0.0, 0.24537037312984467, 0.0, 0.0007716049440205097, 0.0, 0.2947530746459961, 0.2608024775981903]","[0.10185185074806213, 0.0, 0.27237653732299805, 0.0, 0.10030864179134369, 0.0, 0.3722993731498718, 0.1531635820865631]"
5,0.03648597002029419,0.03991367667913437,0.04262072220444679,0.10447998344898224,0.16116110980510712,1.5425070380471717,-0.7958779335021973,0.0,2,4,3.196749381672741,"[1, 7]","[1, 4, 6, 7]","[0.0, 0.8209876418113708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17901234328746796]","[0.0, 0.41550925374031067, 0.0, 0.0, 0.08449073880910873, 0.0, 0.4058642089366913, 0.09413580596446991]"
6,0.033964719623327255,0.03953080624341965,0.040814515203237534,0.0978270098567009,0.15433862805366516,1.577668869566224,-0.8305019736289978,0.0,3,5,3.7902772215870844,"[0, 2, 7]","[0, 1, 2, 3, 7]","[0.3163580298423767, 0.0, 0.1697530895471573, 0.0, 0.0, 0.0, 0.0, 0.5138888955116272]","[0.4193672835826874, 0.08063271641731262, 0.08719135820865631, 0.0694444477558136, 0.0, 0.0, 0.0, 0.3433642089366913]"
7,0.016276275739073753,0.01727023534476757,0.020715374499559402,0.04610970616340637,0.08161988109350204,1.7701236439081298,-0.6359758377075195,0.10108024691358025,4,5,3.517728953842732,"[1, 3, 5, 6]","[0, 1, 3, 5, 6]","[0.0, 0.1628086417913437, 0.0, 0.783178985118866, 0.0, 0.040123455226421356, 0.013888888992369175, 0.0]","[0.050154320895671844, 0.10570987313985825, 0.00038580247201025486, 0.4313271641731262, 0.0, 0.3688271641731262, 0.043595679104328156, 0.0]"
8,0.01888752169907093,0.019695624709129333,0.023749688640236855,0.055218931287527084,0.0826350599527359,1.4964987192970467,-0.44292283058166504,0.22762345679012347,3,6,4.111506495772498,"[0, 4, 5]","[0, 1, 2, 3, 4, 5]","[0.6188271641731262, 0.0, 0.0, 0.0, 0.13348765671253204, 0.24768517911434174, 0.0, 0.0]","[0.37692901492118835, 0.025462962687015533, 0.17091049253940582, 0.01774691417813301, 0.08834876865148544, 0.32060185074806213, 0.0, 0.0]"
9,0.03686600923538208,0.04122065007686615,0.042275384068489075,0.10615719854831696,0.16306939721107483,1.536112476977758,-0.8243067264556885,0.7399691358024691,4,5,3.4466515133837685,"[0, 1, 3, 4]","[0, 1, 3, 4, 6]","[0.03858024626970291, 0.8186728358268738, 0.0, 0.09413580596446991, 0.0486111119389534, 0.0, 0.0, 0.0]","[0.36998456716537476, 0.4313271641731262, 0.0007716049440205097, 0.10879629850387573, 0.07137345522642136, 0.0, 0.01774691417813301, 0.0]"
