layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
0,w1,0,1,1,0.9848499298095703
0,w1,0,2,0,0.004422605037689209
0,w1,0,3,0,0.9849299788475037
0,w1,0,4,0,0.0037305355072021484
0,w1,0,5,0,0.9848130345344543
0,w1,0,6,0,0.0038422346115112305
0,w1,0,7,0,0.9848958849906921
0,w1,1,2,0,0.9847387671470642
0,w1,1,3,0,0.0036855340003967285
0,w1,1,4,0,0.9847514033317566
0,w1,1,5,0,0.0035892724990844727
0,w1,1,6,0,0.9848641753196716
0,w1,1,7,0,0.0016898512840270996
0,w1,2,3,1,0.9848180413246155
0,w1,2,4,0,0.0037401318550109863
0,w1,2,5,0,0.9847097992897034
0,w1,2,6,0,0.0058155059814453125
0,w1,2,7,0,0.9847866296768188
0,w1,3,4,0,0.9848265647888184
0,w1,3,5,0,0.00567251443862915
0,w1,3,6,0,0.9849392771720886
0,w1,3,7,0,0.00457763671875
0,w1,4,5,1,0.9847181439399719
0,w1,4,6,0,0.003952324390411377
0,w1,4,7,0,0.9847879409790039
0,w1,5,6,0,0.984825849533081
0,w1,5,7,0,0.004455089569091797
0,w1,6,7,1,0.9849109649658203
0,w2,0,1,1,1.0000462532043457
0,w2,0,2,0,0.0013080239295959473
0,w2,0,3,0,1.000068187713623
0,w2,0,4,0,0.0010583996772766113
0,w2,0,5,0,1.0000399351119995
0,w2,0,6,0,0.0010952949523925781
0,w2,0,7,0,1.0000431537628174
0,w2,1,2,0,1.000047206878662
0,w2,1,3,0,0.0010486245155334473
0,w2,1,4,0,1.0000455379486084
0,w2,1,5,0,0.001007080078125
0,w2,1,6,0,1.0000361204147339
0,w2,1,7,0,0.00038999319076538086
0,w2,2,3,1,1.0000702142715454
0,w2,2,4,0,0.0010770559310913086
0,w2,2,5,0,1.0000423192977905
0,w2,2,6,0,0.001761019229888916
0,w2,2,7,0,1.0000433921813965
0,w2,3,4,0,1.0000697374343872
0,w2,3,5,0,0.0017096996307373047
0,w2,3,6,0,1.0000566244125366
0,w2,3,7,0,0.0013356208801269531
0,w2,4,5,1,1.0000393390655518
0,w2,4,6,0,0.0011391043663024902
0,w2,4,7,0,1.0000404119491577
0,w2,5,6,0,1.0000293254852295
0,w2,5,7,0,0.0012918710708618164
0,w2,6,7,1,1.0000317096710205
0,w3,0,1,1,0.9992102980613708
0,w3,0,2,0,0.006291389465332031
0,w3,0,3,0,0.9991216659545898
0,w3,0,4,0,0.0052986741065979
0,w3,0,5,0,0.9991608262062073
0,w3,0,6,0,0.005308330059051514
0,w3,0,7,0,0.9992256164550781
0,w3,1,2,0,0.9991897940635681
0,w3,1,3,0,0.005306720733642578
0,w3,1,4,0,0.9992719888687134
0,w3,1,5,0,0.0051174163818359375
0,w3,1,6,0,0.999177873134613
0,w3,1,7,0,0.002537667751312256
0,w3,2,3,1,0.9990949034690857
0,w3,2,4,0,0.005431532859802246
0,w3,2,5,0,0.9991487860679626
0,w3,2,6,0,0.008265554904937744
0,w3,2,7,0,0.9992064833641052
0,w3,3,4,0,0.9991718530654907
0,w3,3,5,0,0.007987439632415771
0,w3,3,6,0,0.9990666508674622
0,w3,3,7,0,0.006560325622558594
0,w3,4,5,1,0.9992222785949707
0,w3,4,6,0,0.005630910396575928
0,w3,4,7,0,0.999289870262146
0,w3,5,6,0,0.9991326928138733
0,w3,5,7,0,0.0063124895095825195
0,w3,6,7,1,0.999194324016571
1,w1,0,1,1,0.9882957935333252
1,w1,0,2,0,0.0004067420959472656
1,w1,0,3,0,0.9881858825683594
1,w1,0,4,0,0.0036261677742004395
1,w1,0,5,0,0.9881327152252197
1,w1,0,6,0,0.0034465789794921875
1,w1,0,7,0,0.988256573677063
1,w1,1,2,0,0.9883144497871399
1,w1,1,3,0,0.00389254093170166
1,w1,1,4,0,0.9883365631103516
1,w1,1,5,0,0.0035670995712280273
1,w1,1,6,0,0.9883623719215393
1,w1,1,7,0,0.003962218761444092
1,w1,2,3,1,0.9882013201713562
1,w1,2,4,0,0.003529965877532959
1,w1,2,5,0,0.9881500005722046
1,w1,2,6,0,0.0033379197120666504
1,w1,2,7,0,0.9882767200469971
1,w1,3,4,0,0.9882299900054932
1,w1,3,5,0,0.0009884238243103027
1,w1,3,6,0,0.9882551431655884
1,w1,3,7,0,0.0038118362426757812
1,w1,4,5,1,0.9881755709648132
1,w1,4,6,0,0.005570352077484131
1,w1,4,7,0,0.9883015751838684
1,w1,5,6,0,0.9881994724273682
1,w1,5,7,0,0.0034917593002319336
1,w1,6,7,1,0.9883292317390442
1,w2,0,1,1,1.0002288818359375
1,w2,0,2,0,-3.8743019104003906e-05
1,w2,0,3,0,1.0002294778823853
1,w2,0,4,0,0.000988304615020752
1,w2,0,5,0,1.0002280473709106
1,w2,0,6,0,0.0009208321571350098
