layer,matrix,mean_pairwise_cosine_distance,mean_within_original_pair_distance,mean_cross_pair_distance,within_minus_cross
0,w1,0.564512129340853,0.9848242700099945,0.4944601058959961,0.4903641641139984
0,w2,0.5719632591520037,1.0000468790531158,0.500615989168485,0.4994308898846308
0,w3,0.5734619413103376,0.9991804510354996,0.502508856356144,0.4966715946793556
1,w1,0.5661298206874302,0.9882504791021347,0.49577637761831284,0.49247410148382187
1,w2,0.5719294888632638,1.0002091526985168,0.5005495448907217,0.49965960780779517
1,w3,0.5730993896722794,0.9996738135814667,0.5020036523540815,0.49767016122738517
2,w1,0.5677408916609628,0.9918468296527863,0.49705656866232556,0.4947902609904607
2,w2,0.5717615698065076,1.0001533329486847,0.5003629426161448,0.4997903903325399
2,w3,0.572505133492606,0.9996830075979233,0.5013088211417198,0.49837418645620346
3,w1,0.5687733484166009,0.9916479736566544,0.49829424420992535,0.493353729446729
3,w2,0.571943170257977,0.9997327774763107,0.5006449023882548,0.49908787508805597
3,w3,0.5738431704895837,0.9992060512304306,0.5029493570327759,0.4962566941976547
4,w1,0.5693909291710172,0.9930413663387299,0.49878252297639847,0.4942588433623314
4,w2,0.5721121111086437,1.0002004206180573,0.5007640595237414,0.4994363610943159
4,w3,0.5738287333931241,0.999872624874115,0.5028214181462923,0.49705120672782266
5,w1,0.5696866597448077,0.993325874209404,0.4990801240007083,0.4942457502086957
5,w2,0.5720820405653545,1.0001843869686127,0.5007316494981447,0.4994527374704679
5,w3,0.5736065081187657,0.9996292591094971,0.5026027162869772,0.4970265428225199
6,w1,0.5700526769672122,0.9939020723104477,0.49941111107667285,0.49449096123377484
6,w2,0.5715067791087287,0.9991685003042221,0.5002298255761465,0.4989386747280756
6,w3,0.574393977011953,1.0008963644504547,0.5033102457722028,0.49758611867825187
7,w1,0.5704723660434995,0.9941397458314896,0.49986113607883453,0.49427860975265503
7,w2,0.5721373323883329,1.000135064125061,0.5008043770988783,0.4993306870261828
7,w3,0.5744634866714478,1.0006308555603027,0.5034355918566386,0.4971952637036642
8,w1,0.5704985707998276,0.9941467344760895,0.4998905435204506,0.4942561909556389
8,w2,0.5721738977091653,1.0002091228961945,0.5008346935113271,0.4993744293848673
8,w3,0.5742582508495876,1.0003214180469513,0.5032477229833603,0.497073695063591
9,w1,0.5702100651604789,0.9942017942667007,0.49954477697610855,0.4946570172905922
9,w2,0.5717615932226181,0.9996736943721771,0.5004429096976916,0.49923078467448556
9,w3,0.5736980267933437,1.000030130147934,0.5026426762342453,0.49738745391368866
10,w1,0.5699916460684368,0.9936716854572296,0.4993783061703046,0.494293379286925
10,w2,0.5722280783312661,1.0004647970199585,0.5008552918831507,0.4996095051368078
10,w3,0.5738686216729028,1.0002641677856445,0.5028026973207792,0.49746147046486533
11,w1,0.5696065979344505,0.992688000202179,0.499093030889829,0.49359496931235
11,w2,0.5717818460294178,0.9996096938848495,0.5004772047201792,0.49913248916467035
11,w3,0.5739329755306244,1.0001062452793121,0.5029040972391764,0.49720214804013574
12,w1,0.5703378809349877,0.9938240498304367,0.4997568527857463,0.49406719704469043
12,w2,0.5726048627070018,1.0010047554969788,0.501204880575339,0.4997998749216398
12,w3,0.5739714482000896,1.0000374019145966,0.5029604559143385,0.4970769460002581
13,w1,0.5691943296364376,0.9923778921365738,0.4986637358864148,0.49371415625015896
13,w2,0.5717316759484155,0.9996382594108582,0.5004139120380083,0.4992243473728498
13,w3,0.5742097688572747,1.0010433793067932,0.503070833782355,0.49797254552443826
14,w1,0.5686682334968022,0.9912166744470596,0.49824349333842594,0.4929731811086337
14,w2,0.5722938350268773,1.0005396008491516,0.5009195407231649,0.4996200601259867
14,w3,0.5739851955856595,1.0003440082073212,0.5029253934820493,0.4974186147252718
15,w1,0.5680643937417439,0.990530401468277,0.4976533924539884,0.4928770090142886
15,w2,0.5714317602770669,0.9991164058446884,0.5001509860157967,0.49896541982889175
15,w3,0.5736224140439715,1.0000427663326263,0.5025523553291956,0.4974904110034307
16,w1,0.5682037195989064,0.9904892593622208,0.49782279630502063,0.49266646305720013
16,w2,0.572328793151038,1.0006022453308105,0.5009498844544092,0.4996523608764013
16,w3,0.573478639125824,0.9994517266750336,0.502483124534289,0.49696860214074456
17,w1,0.5680016577243805,0.9900872707366943,0.4976540555556615,0.49243321518103284
17,w2,0.5721182503870555,1.000245749950409,0.5007636671264967,0.49948208282391227
17,w3,0.5736372257981982,0.9997560381889343,0.5026174237330755,0.49713861445585883
18,w1,0.5683586725166866,0.9910165220499039,0.4979156975944837,0.4931008244554202
18,w2,0.5718577461583274,0.9998704344034195,0.5005222981174787,0.49934813628594077
18,w3,0.5735531406743186,0.999891608953476,0.502496729294459,0.49739487965901696
19,w1,0.5678017203296933,0.9900568723678589,0.4974258616566658,0.4926310107111931
19,w2,0.5716958535569054,0.9995888322591782,0.5003803571065267,0.49920847515265143
19,w3,0.5740249582699367,1.0007190704345703,0.5029092729091644,0.4978097975254059
20,w1,0.5692176222801208,0.9923182278871536,0.4987008546789487,0.4936173732082049
20,w2,0.57180426801954,0.9997278600931168,0.5004836693406105,0.49924419075250626
20,w3,0.5742559518132891,1.0009208023548126,0.5031451433897018,0.4977756589651108
