expert,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,75,0.046170532840123124,0.09115354810410815,3.435083899497986
1,75,0.04994833799177445,0.08835427844366998,3.7031640720367434
2,75,0.05411284645520625,0.08929563685610767,3.986806279818217
3,75,0.05325552451089695,0.0923075835847571,3.93717160542806
4,75,0.049965147160933025,0.083052721335787,3.7089043919245404
5,75,0.05326983886184977,0.09220909657974882,3.9157872168223062
6,75,0.055754716823472446,0.0841019259899801,4.080102491378784
7,75,0.04907507328647539,0.08725300343961329,3.6282157770792645
