layer,matrix,mean_pairwise_cosine_distance,mean_within_original_pair_distance,mean_cross_pair_distance,within_minus_cross
0,w1,0.5645074205739158,0.9848204106092453,0.4944552555680275,0.4903651550412178
0,w2,0.5719610048191888,1.0000455677509308,0.5006135776638985,0.4994319900870323
0,w3,0.5734592143978391,0.9991830438375473,0.5025052428245544,0.49667780101299286
1,w1,0.5661299335105079,0.9882548153400421,0.4957757865389188,0.4924790288011233
1,w2,0.5719288630144936,1.000209003686905,0.5005488395690918,0.4996601641178131
1,w3,0.5730981252023152,0.9996756166219711,0.5020018766323725,0.49767373998959863
2,w1,0.5677404190812793,0.99184949696064,0.4970555727680524,0.49479392419258755
2,w2,0.5717616826295853,1.0001543164253235,0.5003629103302956,0.4997914060950279
2,w3,0.5725044650690896,0.999683752655983,0.5013079171379408,0.4983758355180422
3,w1,0.5687714772565025,0.9916501939296722,0.49829169114430744,0.4933585027853648
3,w2,0.5719415822199413,0.9997331351041794,0.5006429900725683,0.4990901450316111
3,w3,0.5738404648644584,0.999206468462944,0.5029461309313774,0.4962603375315666
4,w1,0.5693939115319934,0.9930503666400909,0.49878450234731037,0.4942658642927806
4,w2,0.5721102101462228,1.0002003014087677,0.5007618616024653,0.4994384398063024
4,w3,0.5738270623343331,0.9998705238103867,0.5028198187549909,0.4970507050553957
5,w1,0.5696847502674375,0.9933248311281204,0.49907807012399036,0.49424676100413006
5,w2,0.5720810230289187,1.0001846551895142,0.5007304176688194,0.49945423752069473
5,w3,0.5736048328025001,0.9996295720338821,0.5026007095972697,0.4970288624366125
6,w1,0.5700504013470241,0.9939021915197372,0.49940843631823856,0.4944937552014987
6,w2,0.5715054209743228,0.9991681128740311,0.5002283056577047,0.49893980721632636
6,w3,0.5743921058518546,1.0008958578109741,0.5033081471920013,0.4975877106189728
7,w1,0.5704700244324548,0.994140550494194,0.4998582700888316,0.49428228040536243
7,w2,0.5721374409539359,1.0001352727413177,0.5008044689893723,0.4993308037519455
7,w3,0.5744592824152538,1.000630110502243,0.5034308110674223,0.4971992994348208
8,w1,0.5704967677593231,0.9941500276327133,0.4998878911137581,0.49426213651895523
