layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,1.0,0.6931471824645996,0.0,0,0,6,0,"[0.0011075278744101524, -0.08181554079055786, -0.050997354090213776, -0.04534386843442917, -0.0746808648109436, -0.04266183078289032, -0.01688988506793976, -0.07358504086732864]"
0,1.0,0.6931471824645996,0.05000000074505806,0,0,6,0,"[0.0009936403948813677, -0.0879983901977539, -0.053213343024253845, -0.04647540673613548, -0.08014936745166779, -0.04383513703942299, -0.017420511692762375, -0.0784166231751442]"
0,1.0,0.6931471824645996,0.10000000149011612,0,0,6,0,"[0.0008797529153525829, -0.09418123215436935, -0.055429328233003616, -0.047606948763132095, -0.08561787009239197, -0.04500843957066536, -0.01795113831758499, -0.08324820548295975]"
0,1.0,0.6931471824645996,0.15000000596046448,0,0,6,0,"[0.0007658652029931545, -0.1003640741109848, -0.057645317167043686, -0.04873848706483841, -0.09108637273311615, -0.04618174582719803, -0.018481766805052757, -0.0880797803401947]"
0,1.0,0.6931471824645996,0.20000000298023224,0,0,6,0,"[0.0006519777234643698, -0.10654692351818085, -0.05986130237579346, -0.04987002909183502, -0.09655487537384033, -0.0473550483584404, -0.019012393429875374, -0.09291136264801025]"
0,1.0,0.6931471824645996,0.25,0,0,6,0,"[0.000538090243935585, -0.1127297654747963, -0.06207729130983353, -0.051001571118831635, -0.10202337801456451, -0.04852835088968277, -0.01954302005469799, -0.0977429449558258]"
0,1.0,0.6931471824645996,0.30000001192092896,0,0,6,0,"[0.0004242025315761566, -0.11891260743141174, -0.0642932802438736, -0.05213311314582825, -0.1074918806552887, -0.04970165714621544, -0.020073646679520607, -0.10257452726364136]"
0,1.0,0.6931471824645996,0.3499999940395355,0,0,6,0,"[0.00031031505204737186, -0.1250954568386078, -0.06650926917791367, -0.05326465517282486, -0.11296038329601288, -0.05087496340274811, -0.020604273304343224, -0.10740610957145691]"
0,1.0,0.6931471824645996,0.4000000059604645,0,0,6,0,"[0.0001964275725185871, -0.13127830624580383, -0.06872525811195374, -0.054396193474531174, -0.11842888593673706, -0.05204826593399048, -0.02113490179181099, -0.11223769187927246]"
0,1.0,0.6931471824645996,0.45000001788139343,0,0,6,0,"[8.25398601591587e-05, -0.13746115565299988, -0.07094123959541321, -0.055527735501527786, -0.12389738857746124, -0.05322156846523285, -0.021665528416633606, -0.11706927418708801]"
0,1.0,0.6931471824645996,0.5,0,0,6,0,"[-3.134738653898239e-05, -0.14364399015903473, -0.07315722852945328, -0.0566592775285244, -0.12936589121818542, -0.05439487099647522, -0.022196155041456223, -0.12190085649490356]"
0,1.0,0.6931471824645996,0.550000011920929,0,0,6,0,"[-0.0001452350988984108, -0.14982683956623077, -0.07537321746349335, -0.05779081583023071, -0.1348343938589096, -0.05556817725300789, -0.02272678352892399, -0.12673243880271912]"
0,1.0,0.6931471824645996,0.6000000238418579,0,0,6,0,"[-0.0002591223455965519, -0.15600967407226562, -0.07758920639753342, -0.058922357857227325, -0.1403028964996338, -0.05674148350954056, -0.023257410153746605, -0.13156402111053467]"
