layer,matrix,mean_pairwise_cosine_distance,mean_within_original_pair_distance,mean_cross_pair_distance,within_minus_cross
0,w1,0.5631302062954221,0.9847900122404099,0.4928535719712575,0.49193644026915234
0,w2,0.5715088014091764,1.0000371932983398,0.5000874027609825,0.49994979053735733
0,w3,0.5715558720486504,0.9992179423570633,0.5002788603305817,0.49893908202648163
1,w1,0.5651378780603409,0.9881289601325989,0.4946393643816312,0.4934895957509677
1,w2,0.5716328876359122,1.0002221763134003,0.5002013395229975,0.5000208367904028
1,w3,0.5718799105712346,0.9997087866067886,0.5005750978986422,0.49913368870814645
2,w1,0.566962908421244,0.9918078482151031,0.49615541845560074,0.4956524297595024
2,w2,0.5715261633907046,1.0001656413078308,0.5000862504045168,0.500079390903314
2,w3,0.5715331073318209,0.9996412098407745,0.500181756913662,0.4994594529271126
3,w1,0.5672478079795837,0.9916117489337921,0.4965204844872157,0.4950912644465764
3,w2,0.5714316836425236,0.9997568875551224,0.5000441496570905,0.49971273789803183
3,w3,0.5717941799334118,0.9991910606622696,0.500561366478602,0.49862969418366754
4,w1,0.5678524311099734,0.9929685741662979,0.49699974060058594,0.495968833565712
4,w2,0.5716105720826558,1.000194936990738,0.5001798445979754,0.5000150923927625
4,w3,0.5719229068074908,0.9998757243156433,0.5005974372227987,0.4992782870928446
5,w1,0.5681600081069129,0.9933040291070938,0.4973026712735494,0.49600135783354443
5,w2,0.5716234402997153,1.0001779794692993,0.5001976837714514,0.49998029569784797
5,w3,0.5718608562435422,0.9996322840452194,0.5005656182765961,0.49906666576862335
6,w1,0.5683105353798185,0.9940066933631897,0.4973611757159233,0.4966455176472664
6,w2,0.5709867221968514,0.9991799890995026,0.4996211777130763,0.49955881138642627
6,w3,0.5723020945276532,1.0009092092514038,0.5008675754070282,0.5000416338443756
7,w1,0.5687195892844882,0.9941811263561249,0.497809333105882,0.4963717932502429
7,w2,0.5716195745127541,1.000146359205246,0.5001984437306722,0.49994791547457373
7,w3,0.5724618285894394,1.0006113946437836,0.501103567580382,0.4995078270634016
8,w1,0.5686730529580798,0.9941475540399551,0.4977606361111005,0.49638691792885464
8,w2,0.5716450874294553,1.0002070665359497,0.5002180909117063,0.4999889756242434
8,w3,0.5722081256764275,1.000249445438385,0.5008679057161013,0.4993815397222837
9,w1,0.5685502269438335,0.9942101836204529,0.49760690083106357,0.4966032827893893
9,w2,0.5712793320417404,0.9996620267629623,0.4998822162548701,0.4997798105080922
9,w3,0.571910519685064,1.000057965517044,0.5005526120464007,0.4995053534706434
10,w1,0.568280754344804,0.9936811327934265,0.49738069127003354,0.496300441523393
10,w2,0.5717302560806274,1.0004433691501617,0.5002780705690384,0.5001652985811234
10,w3,0.5720404216221401,1.000251978635788,0.500671828786532,0.4995801498492559
11,w1,0.5679056899888175,0.9927121251821518,0.4971046174565951,0.4956075077255567
11,w2,0.5713184582335609,0.9996242523193359,0.499934159219265,0.49969009310007095
11,w3,0.5721595947231565,1.0001313090324402,0.5008309756716093,0.4993003333608309
12,w1,0.5685954689979553,0.9939510971307755,0.49770286430915195,0.4962482328216235
12,w2,0.5720983743667603,1.001000851392746,0.5006146281957626,0.5003862231969833
12,w3,0.5720795669725963,1.0000185370445251,0.5007564052939415,0.49926213175058365
13,w1,0.567344823053905,0.9924612939357758,0.49649207790692645,0.4959692160288493
13,w2,0.5712065079382488,0.9996319115161896,0.49980227400859195,0.4998296375075976
13,w3,0.5722383878060749,1.001015543937683,0.500775528450807,0.5002400154868761
14,w1,0.5666505694389343,0.9913264364004135,0.4958712582786878,0.49545517812172574
14,w2,0.5716802222388131,1.0005260109901428,0.5002059241135915,0.5003200868765513
14,w3,0.5718597173690796,1.000420242547989,0.5004329631725947,0.4999872793753942
15,w1,0.5666053614446095,0.9905582219362259,0.49594655136267346,0.49461167057355243
15,w2,0.5710037116493497,0.9991036802530289,0.4996537168820699,0.499449963370959
15,w3,0.5720506310462952,1.0000682473182678,0.5007143616676331,0.49935388565063477
16,w1,0.5663821122476033,0.9906191825866699,0.4956759338577588,0.4949432487289111
16,w2,0.5717844920498985,1.0006005764007568,0.5003151446580887,0.5002854317426682
16,w3,0.5714326117719922,0.9994586557149887,0.5000949377814928,0.4993637179334959
17,w1,0.5664674384253365,0.9906440675258636,0.4957713335752487,0.49487273395061493
17,w2,0.5715734660625458,1.000246375799179,0.5001279811064402,0.5001183946927389
17,w3,0.5716660129172462,0.9997892677783966,0.5003121371070544,0.49947713067134225
18,w1,0.5668755727154868,0.990896686911583,0.4962053870161374,0.4946912998954455
18,w2,0.5714419846023832,0.9998643845319748,0.5000382512807846,0.4998261332511902
18,w3,0.5719774322850364,0.9998781681060791,0.5006606429815292,0.49921752512454987
19,w1,0.5664874166250229,0.9899776130914688,0.49590571721394855,0.49407189587752026
19,w2,0.5713030632053103,0.9995792657136917,0.49992369612058,0.4996555695931117
19,w3,0.5725719779729843,1.0006964206695557,0.5012179041902224,0.4994785164793333
20,w1,0.5676940785987037,0.9924551248550415,0.496900570889314,0.4955545539657275
20,w2,0.5713665059634617,0.9997537285089493,0.49996863553921383,0.49978509296973544
20,w3,0.572535806468555,1.0009359419345856,0.5011357838908831,0.4998001580437025
21,w1,0.5680163545267922,0.9931874573230743,0.49715450406074524,0.4960329532623291
21,w2,0.5706894312586103,0.998646080493927,0.4993633230527242,0.4992827574412028
21,w3,0.571508954678263,0.9993739724159241,0.5001981183886528,0.49917585402727127
22,w1,0.5683638176747731,0.9937033504247665,0.49747389554977417,0.49622945487499237
22,w2,0.5715237132140568,1.000071406364441,0.5000990976889929,0.49997230867544806
22,w3,0.5721381370510373,1.0003693103790283,0.5007662748297056,0.4996030355493227
23,w1,0.5668898863451821,0.9908476918935776,0.49623025208711624,0.49461743980646133
23,w2,0.5710081202643258,0.9991011321544647,0.4996592849493027,0.49944184720516205
23,w3,0.5715959774596351,0.9991319626569748,0.5003399799267451,0.49879198273022973
24,w1,0.5655609518289566,0.9892717599868774,0.49494248380263645,0.494329276184241
24,w2,0.5714379634175982,1.0000634491443634,0.5000003824631373,0.5000630666812261
24,w3,0.5713426279170173,0.9994683116674423,0.4999883472919464,0.4994799643754959
