label,checkpoint,layer,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,0,1,2,1.0,2.0,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 0, 0, 0, 2576, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,1,2,2,1.9920333444977747,2.0,6,0.5446428571428571,6,0.5,-0.9999999999999999,6,7,2.1959550380706787,1.7656222581863403,4.986457824707031,12.702472686767578,"[0, 0, 0, 0, 0, 0, 1403, 1173]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 1403, 1173]","[None, None, None, None, None, None, 2.1959550380706787, 1.7656222581863403]","[None, None, None, None, None, None, 4.986457824707031, 12.702472686767578]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,2,2,2,1.9899772798548998,2.0,5,0.5500776397515528,5,0.5,-1.0000000000000002,6,5,2.1968722343444824,1.8389732837677002,4.208800792694092,12.009880065917969,"[0, 0, 0, 0, 0, 1417, 1159, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 1417, 1159, 0]","[None, None, None, None, None, 1.8389732837677002, 2.1968722343444824, None]","[None, None, None, None, None, 12.009880065917969, 4.208800792694092, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,3,1,2,1.0,2.0,4,1.0,1,0.5,,4,4,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 2576, 0, 0, 0]","[0, 2576, 0, 0, 2576, 0, 0, 0]","[0, 0, 0, 0, 2576, 0, 0, 0]","[None, None, None, None, 2.0, None, None, None]","[None, None, None, None, 8.5, None, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,4,1,2,1.0,2.0,6,1.0,6,0.5,,6,6,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 0, 2576, 0]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 2576, 0]","[None, None, None, None, None, None, 2.0, None]","[None, None, None, None, None, None, 8.5, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,5,2,2,1.0654902017059678,2.0,6,0.9883540372670807,1,0.5,-1.0000000000000002,1,6,3.684166431427002,1.9801552295684814,1.0666667222976685,8.5875883102417,"[0, 30, 0, 0, 0, 0, 2546, 0]","[0, 2576, 0, 0, 0, 0, 2576, 0]","[0, 30, 0, 0, 0, 0, 2546, 0]","[None, 3.684166431427002, None, None, None, None, 1.9801552295684814, None]","[None, 1.0666667222976685, None, None, None, None, 8.5875883102417, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,6,2,2,1.0322340469687252,2.0,7,0.9949534161490683,4,0.5,1.0000000000000002,4,7,0.14999999105930328,2.0093834400177,1.0,8.538041114807129,"[0, 0, 0, 0, 13, 0, 0, 2563]","[0, 0, 0, 0, 2576, 0, 0, 2576]","[0, 0, 0, 0, 13, 0, 0, 2563]","[None, None, None, None, 0.14999999105930328, None, None, 2.0093834400177]","[None, None, None, None, 1.0, None, None, 8.538041114807129]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,7,1,2,1.0,2.0,5,1.0,5,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,8,1,2,1.0,2.0,5,1.0,2,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 2576, 0, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,9,1,2,1.0,2.0,1,1.0,1,0.5,,1,1,2.0,2.0,8.5,8.5,"[0, 2576, 0, 0, 0, 0, 0, 0]","[0, 2576, 0, 0, 0, 0, 2576, 0]","[0, 2576, 0, 0, 0, 0, 0, 0]","[None, 2.0, None, None, None, None, None, None]","[None, 8.5, None, None, None, None, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,10,2,2,1.6571543709973688,2.0,6,0.796583850931677,6,0.5,-1.0000000000000002,7,6,3.4782443046569824,1.6225146055221558,6.053435325622559,9.124755859375,"[0, 0, 0, 0, 0, 0, 2052, 524]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 2052, 524]","[None, None, None, None, None, None, 1.6225146055221558, 3.4782443046569824]","[None, None, None, None, None, None, 9.124755859375, 6.053435325622559]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,11,1,2,1.0,2.0,3,1.0,0,0.5,,3,3,2.0,2.0,8.5,8.5,"[0, 0, 0, 2576, 0, 0, 0, 0]","[2576, 0, 0, 2576, 0, 0, 0, 0]","[0, 0, 0, 2576, 0, 0, 0, 0]","[None, None, None, 2.0, None, None, None, None]","[None, None, None, 8.5, None, None, None, None]"
phaseB_to_total50k_0000037000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000037000,12,2,2,1.715986849822104,2.0,5,0.7694099378881988,4,0.5,-1.0,5,4,2.4485747814178467,0.503240704536438,8.05600357055664,9.981481552124023,"[0, 0, 0, 0, 594, 1982, 0, 0]","[0, 0, 0, 0, 2576, 2576, 0, 0]","[0, 0, 0, 0, 594, 1982, 0, 0]","[None, None, None, None, 0.503240704536438, 2.4485747814178467, None, None]","[None, None, None, None, 9.981481552124023, 8.05600357055664, None, None]"
