layer,param,num_experts,experts,mean_pair_cos,min_pair_cos,max_pair_cos,mean_pair_rel_l2,min_pair_rel_l2,max_pair_rel_l2,mean_paired_cos_01_23_45_67,mean_paired_rel_l2_01_23_45_67,mean_weight_norm
0,w1.weight,8,"0,1,2,3,4,5,6,7",0.43689194281718563,0.015119656920433044,1.00007164478302,0.8214191450017114,0.021646777730365687,1.4034915243082977,0.015206446638330817,1.4034286153352062,59.77720403671265
0,w2.weight,8,"0,1,2,3,4,5,6,7",0.4285257825295048,-4.979555160389282e-05,1.0002455711364746,0.8193379434564794,0.012668462164908375,1.41424628366853,-3.661378468677867e-05,1.4142378062526437,103.52066612243652
0,w3.weight,8,"0,1,2,3,4,5,6,7",0.4284577938254058,0.0007471386343240738,0.9999769926071167,0.8309445693319678,0.026447552678465353,1.4136816593026982,0.0007858821627451107,1.4136533278034022,50.04558277130127
1,w1.weight,8,"0,1,2,3,4,5,6,7",0.434882915412475,0.01182985957711935,1.0003337860107422,0.8227274815036294,0.0,1.405830254264081,0.011870786314830184,1.4057996284339769,60.17133188247681
1,w2.weight,8,"0,1,2,3,4,5,6,7",0.4283928839369245,-0.00023833091836422682,1.0003225803375244,0.8190936545177185,0.0,1.4143870203391427,-0.00022242847990128212,1.414365071520764,106.1285285949707
1,w3.weight,8,"0,1,2,3,4,5,6,7",0.42811800610486117,0.0002575511171016842,1.0003340244293213,0.8297801350823583,0.0,1.4140424019870308,0.0002917964811786078,1.4140069039037235,52.404534339904785
2,w1.weight,8,"0,1,2,3,4,5,6,7",0.4330347028361367,0.008173761889338493,1.0003234148025513,0.8171238410970544,0.0,1.4084509648186532,0.008190640481188893,1.4084500733894676,61.07887268066406
2,w2.weight,8,"0,1,2,3,4,5,6,7",0.4285022272602613,-0.0001768233341863379,1.0003284215927124,0.8151963896543734,0.0,1.4143410287805456,-0.00016670104378135875,1.414324597788942,106.67409133911133
2,w3.weight,8,"0,1,2,3,4,5,6,7",0.4284818764800938,0.00031160921207629144,1.0003398656845093,0.8216878062387959,0.0,1.4139990400459466,0.0003572400673874654,1.4139604821006215,53.42546844482422
3,w1.weight,8,"0,1,2,3,4,5,6,7",0.4327667828183621,0.008304682560265064,0.9997991919517517,0.8290967863730169,0.03115214689645954,1.4083456109922887,0.008389159804210067,1.4082840144281286,62.13927173614502
3,w2.weight,8,"0,1,2,3,4,5,6,7",0.42859945993820603,0.0002286246162839234,1.0001592636108398,0.8223892314295924,0.018431166650214666,1.414055358754956,0.00024282633603434078,1.4140417630483577,105.36284351348877
3,w3.weight,8,"0,1,2,3,4,5,6,7",0.4282096628033157,0.0007598932133987546,0.9996518492698669,0.83597691312056,0.03668919756502381,1.4136720554703388,0.0008084659493761137,1.4136417084562438,53.1518931388855
4,w1.weight,8,"0,1,2,3,4,5,6,7",0.43215778483343975,0.006970805115997791,1.0003185272216797,0.8254686749420872,0.0,1.4092833160220428,0.00702931999694556,1.409241778450388,61.16161251068115
4,w2.weight,8,"0,1,2,3,4,5,6,7",0.42841557889343157,-0.00020847977430094033,1.0003349781036377,0.8197735791751598,0.0,1.414363540206058,-0.00019586116468417458,1.41435257890721,106.19523334503174
4,w3.weight,8,"0,1,2,3,4,5,6,7",0.42808354848862756,9.62627018452622e-05,1.0003377199172974,0.8306225179124874,0.0,1.4141465805289617,0.00012125451758038253,1.4141305926153604,53.93505239486694
