expert,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,75,0.0359483284349379,0.07325798126015835,2.7170982567469277
1,75,0.041545348137204854,0.08439109465402393,3.116425004005432
2,75,0.042794316227252265,0.0776726253670003,3.1936536041895547
3,75,0.03928885809489773,0.08180872997891427,2.9586138343811035
4,75,0.04209028148723136,0.08139869366248198,3.1532981634140014
5,75,0.04083106751204864,0.0817961150120493,3.0461760822931927
6,75,0.047223594960642185,0.0818959513418132,3.4879544337590533
7,75,0.035632358867188144,0.07410630224638609,2.6956385469436643
