layer,num_params,mean_pair_cos,mean_pair_rel_l2,mean_paired_cos,mean_paired_rel_l2
0,3,0.431291839724032,0.8239005525967196,0.005318571672129717,1.4104399164637507
1,3,0.4304646018180869,0.8238670903679021,0.003980051438702503,1.4113905346194882
2,3,0.4300062688588306,0.8180026789967413,0.0027937265015983335,1.4122450510930105
3,3,0.429858635186628,0.8291543103077231,0.0031468173632068406,1.4119891619775766
4,3,0.429552304071833,0.8252882573432448,0.002318237783280589,1.4125749833243193
5,3,0.42946719055734794,0.8276695639537913,0.0022955531288365214,1.4125972965274345
6,3,0.42948585971940445,0.821005954087689,0.001966117672661009,1.4128293761662156
7,3,0.4290851882344993,0.8288276937047895,0.0016851194620054837,1.4130238375286333
8,3,0.4291774001162378,0.8264719034635378,0.0017978142459469382,1.4129443852807189
9,3,0.42943741625527937,0.8233159072998996,0.0020239036653038056,1.412786788469754
10,3,0.4293300947136318,0.8228724888404164,0.0018749751046319336,1.4128847582081068
11,3,0.42955829538100043,0.8279606241852938,0.002509067206119653,1.4124384101269953
12,3,0.4290917762473869,0.8275790996127119,0.0016765958006696262,1.413034824626564
13,3,0.42975914522997166,0.8182311636550014,0.002294440161980068,1.4126095602958675
14,3,0.4299434951778191,0.8150238873216376,0.0025743226918469495,1.412390701790437
15,3,0.4301389632098021,0.8262956779501093,0.003425121763636222,1.411792141374723
16,3,0.4301562429651053,0.8199345963433425,0.003104431787505746,1.4120151432554593
17,3,0.4301004264974229,0.8193142490998939,0.0031071335445934287,1.4120174842618873
18,3,0.42992073926091373,0.8272444058887071,0.0031210947872750694,1.4120108053233291
19,3,0.4298993812210808,0.8289876431028612,0.003252592430120179,1.4119097245551304
20,3,0.4294919396578778,0.8262795895332727,0.002287779687321745,1.4125944753366568
21,3,0.4299503587341557,0.8225883745946757,0.002930436259096799,1.4121401684144435
22,3,0.4293539749961772,0.8244930038853973,0.0019570834538171766,1.412826640792684
23,3,0.43018839653190555,0.8272667550428651,0.003638359674368985,1.4116370683777972
24,3,0.43056587982920025,0.8165124805179547,0.0037323235046642367,1.4115683675530215
